Source,Receiver,Ligand,Target
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Excitatory Layer 3-4 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Excitatory Layer 3-6 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRIA3
Inhibitory PVALB neurons,Excitatory Layer 2-3 IT neurons II,GABA,GABA-A_a1b2_complex
Inhibitory VIP neurons,Excitatory Layer 2-3 IT neurons II,GABA,GABA-A_a1b2_complex
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 3-4 IT neurons,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 3-6 IT neurons,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 2-3 IT neurons II,Glu,NMDA_1_2A_complex
Excitatory Layer 2-3 IT neurons I,Oligodendrocytes,Glu,GRM3
Excitatory Layer 2-3 IT neurons II,Oligodendrocytes,Glu,GRM3
Excitatory Layer 3-4 IT neurons,Oligodendrocytes,Glu,GRM3
Excitatory Layer 3-6 IT neurons,Oligodendrocytes,Glu,GRM3
Excitatory Layer 5-6 CT and NP neurons,Oligodendrocytes,Glu,GRM3
Excitatory Layer 5-6 IT neurons I,Oligodendrocytes,Glu,GRM3
Excitatory Layer 5-6 IT neurons II,Oligodendrocytes,Glu,GRM3
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons I,CO,GUCY1A1
